smiles,pIC50
c1cc(Nc2nccc(-c3cccnc3)n2)cc(OCCn2ccnc2)c1,4.468521082957745
c1cc(Nc2nccc(-c3cccnc3)n2)cc(OCCn2ccnc2)c1,3.4685210829577446
Cc1ccc(C(=O)Nc2cccc(Nc3nccc(-c4cccnc4)n3)c2)cc1,6.0
COc1ccccc1C(=O)Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1,5.721246399047171
COc1ccccc1C(=O)Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1,6.494850021680094
c1cncc(-c2ccnc(Nc3cccc(-n4ccnc4)c3)n2)c1,5.481486060122113
c1cncc(-c2ccnc(Nc3cccc(-n4ccnc4)c3)n2)c1,5.795880017344075
c1cncc(-c2ccnc(Nc3cccc(-n4ccnc4)c3)n2)c1,6.0
c1cncc(-c2ccnc(Nc3cccc(-n4ccnc4)c3)n2)c1,4.6777807052660805
O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)c1ccccn1,5.42021640338319
O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)c1ccccn1,4.045757490560675
COC(=O)c1cccc(Nc2nccc(-c3cccnc3)n2)c1,5.292429823902063
COC(=O)c1cccc(Nc2nccc(-c3cccnc3)n2)c1,4.045757490560675
FC(F)C(F)(F)Oc1cccc(Nc2nccc(-c3c[nH]c4ccccc34)n2)c1,6.431798275933005
FC(F)C(F)(F)Oc1cccc(Nc2nccc(-c3c[nH]c4ccccc34)n2)c1,5.657577319177793
FC(F)C(F)(F)Oc1cccc(Nc2nccc(-c3c[nH]c4ccccc34)n2)c1,6.5376020021010435
